onset	duration	trial_type	results	response_time	score
24.8	0.8	INSTRUCTION	NR	n/a	n/a
25.6	0.8	INSTRUCTION	NR	n/a	n/a
26.4	0.8	INSTRUCTION	NR	n/a	n/a
27.2	0.8	INSTRUCTION	NR	n/a	n/a
28.0	0.8	INSTRUCTION	NR	n/a	n/a
28.8	0.8	INSTRUCTION	NR	n/a	n/a
29.6	0.8	INSTRUCTION	NR	n/a	n/a
30.4	0.8	INSTRUCTION	NR	n/a	n/a
31.2	0.8	INSTRUCTION	NR	n/a	n/a
32.0	0.8	INSTRUCTION	NR	n/a	n/a
32.8	0.8	INSTRUCTION	NR	n/a	n/a
33.6	0.8	INSTRUCTION	NR	n/a	n/a
34.4	2.4	0BACK	NR	n/a	true_negative
36.8	2.4	0BACK	NR	n/a	true_negative
39.2	2.4	0BACK	NR	n/a	true_negative
41.6	2.4	0BACK	Match	0.357	true_positive
44.0	2.4	0BACK	NR	n/a	true_negative
46.4	2.4	0BACK	NR	n/a	true_negative
48.8	2.4	0BACK	Match	0.3732	true_positive
51.2	2.4	0BACK	NR	n/a	true_negative
53.6	2.4	0BACK	NR	n/a	true_negative
56.0	2.4	0BACK	Match	0.4626	true_positive
58.4	2.4	0BACK	NR	n/a	true_negative
60.8	2.4	0BACK	NR	n/a	true_negative
63.2	2.4	0BACK	Match	0.5157999999999999	true_positive
65.6	2.4	0BACK	NR	n/a	true_negative
68.0	2.4	0BACK	NR	n/a	true_negative
70.4	2.4	0BACK	NR	n/a	true_negative
72.8	2.4	0BACK	NR	n/a	true_negative
75.2	2.4	0BACK	NR	n/a	true_negative
77.6	2.4	0BACK	Match	0.5162	true_positive
80.0	2.4	0BACK	NR	n/a	true_negative
82.4	0.8	INSTRUCTION	NR	n/a	n/a
83.2	0.8	INSTRUCTION	NR	n/a	n/a
84.0	0.8	INSTRUCTION	NR	n/a	n/a
84.8	0.8	INSTRUCTION	NR	n/a	n/a
85.6	0.8	INSTRUCTION	NR	n/a	n/a
86.4	0.8	INSTRUCTION	NR	n/a	n/a
87.2	0.8	INSTRUCTION	NR	n/a	n/a
88.0	0.8	INSTRUCTION	NR	n/a	n/a
88.8	0.8	INSTRUCTION	NR	n/a	n/a
89.6	0.8	INSTRUCTION	NR	n/a	n/a
90.4	0.8	INSTRUCTION	NR	n/a	n/a
91.2	0.8	INSTRUCTION	NR	n/a	n/a
92.0	2.4	2BACK	NR	n/a	true_negative
94.4	2.4	2BACK	NR	n/a	true_negative
96.8	2.4	2BACK	NR	n/a	true_negative
99.2	2.4	2BACK	NR	n/a	true_negative
101.6	2.4	2BACK	NR	n/a	true_negative
104.0	2.4	2BACK	Match	0.474	true_positive
106.4	2.4	2BACK	NR	n/a	true_negative
108.8	2.4	2BACK	NR	n/a	true_negative
111.2	2.4	2BACK	NR	0.8156	false_positive
113.6	2.4	2BACK	Match	0.7346	true_positive
116.0	2.4	2BACK	NR	n/a	true_negative
118.4	2.4	2BACK	Match	0.5776	true_positive
120.8	2.4	2BACK	NR	n/a	true_negative
123.2	2.4	2BACK	NR	n/a	true_negative
125.6	2.4	2BACK	Match	0.8152999999999999	true_positive
128.0	2.4	2BACK	NR	n/a	true_negative
130.4	2.4	2BACK	NR	n/a	true_negative
132.8	2.4	2BACK	NR	n/a	true_negative
135.2	2.4	2BACK	NR	n/a	true_negative
137.6	2.4	2BACK	Match	0.5568	true_positive
140.0	0.8	INSTRUCTION	NR	n/a	n/a
140.8	0.8	INSTRUCTION	NR	n/a	n/a
141.6	0.8	INSTRUCTION	NR	n/a	n/a
142.4	0.8	INSTRUCTION	NR	n/a	n/a
143.2	0.8	INSTRUCTION	NR	n/a	n/a
144.0	0.8	INSTRUCTION	NR	n/a	n/a
144.8	0.8	INSTRUCTION	NR	n/a	n/a
145.6	0.8	INSTRUCTION	NR	n/a	n/a
146.4	0.8	INSTRUCTION	NR	n/a	n/a
147.2	0.8	INSTRUCTION	NR	n/a	n/a
148.0	0.8	INSTRUCTION	NR	n/a	n/a
148.8	0.8	INSTRUCTION	NR	n/a	n/a
149.6	2.4	2BACK	NR	n/a	true_negative
152.0	2.4	2BACK	NR	n/a	true_negative
154.4	2.4	2BACK	NR	n/a	true_negative
156.8	2.4	2BACK	Match	0.5312	true_positive
159.2	2.4	2BACK	Match	0.4427	true_positive
161.6	2.4	2BACK	NR	n/a	true_negative
164.0	2.4	2BACK	NR	0.7697	false_positive
166.4	2.4	2BACK	NR	n/a	true_negative
168.8	2.4	2BACK	NR	n/a	true_negative
171.2	2.4	2BACK	NR	n/a	true_negative
173.6	2.4	2BACK	Match	0.5071	true_positive
176.0	2.4	2BACK	NR	n/a	true_negative
178.4	2.4	2BACK	Match	0.6981	true_positive
180.8	2.4	2BACK	NR	n/a	true_negative
183.2	2.4	2BACK	NR	n/a	true_negative
185.6	2.4	2BACK	NR	n/a	true_negative
188.0	2.4	2BACK	NR	n/a	true_negative
190.4	2.4	2BACK	NR	n/a	true_negative
192.8	2.4	2BACK	NR	0.8661	false_positive
195.2	2.4	2BACK	Match	0.8465	true_positive
197.6	0.8	INSTRUCTION	NR	n/a	n/a
198.4	0.8	INSTRUCTION	NR	n/a	n/a
199.2	0.8	INSTRUCTION	NR	n/a	n/a
200.0	0.8	INSTRUCTION	NR	n/a	n/a
200.8	0.8	INSTRUCTION	NR	n/a	n/a
201.6	0.8	INSTRUCTION	NR	n/a	n/a
202.4	0.8	INSTRUCTION	NR	n/a	n/a
203.2	0.8	INSTRUCTION	NR	n/a	n/a
204.0	0.8	INSTRUCTION	NR	n/a	n/a
204.8	0.8	INSTRUCTION	NR	n/a	n/a
205.6	0.8	INSTRUCTION	NR	n/a	n/a
206.4	0.8	INSTRUCTION	NR	n/a	n/a
207.2	2.4	0BACK	NR	n/a	true_negative
209.6	2.4	0BACK	NR	n/a	true_negative
212.0	2.4	0BACK	NR	n/a	true_negative
214.4	2.4	0BACK	Match	0.4605	true_positive
216.8	2.4	0BACK	Match	0.6809	true_positive
219.2	2.4	0BACK	NR	n/a	true_negative
221.6	2.4	0BACK	NR	n/a	true_negative
224.0	2.4	0BACK	NR	n/a	true_negative
226.4	2.4	0BACK	NR	n/a	true_negative
228.8	2.4	0BACK	NR	n/a	true_negative
231.2	2.4	0BACK	Match	0.5044	true_positive
233.6	2.4	0BACK	NR	n/a	true_negative
236.0	2.4	0BACK	NR	n/a	true_negative
238.4	2.4	0BACK	NR	n/a	true_negative
240.8	2.4	0BACK	Match	0.6491	true_positive
243.2	2.4	0BACK	NR	n/a	true_negative
245.6	2.4	0BACK	NR	n/a	true_negative
248.0	2.4	0BACK	NR	n/a	true_negative
250.4	2.4	0BACK	Match	0.44880000000000003	true_positive
252.8	2.4	0BACK	NR	n/a	true_negative
279.2	0.8	INSTRUCTION	NR	n/a	n/a
280.0	0.8	INSTRUCTION	NR	n/a	n/a
280.8	0.8	INSTRUCTION	NR	n/a	n/a
281.6	0.8	INSTRUCTION	NR	n/a	n/a
282.4	0.8	INSTRUCTION	NR	n/a	n/a
283.2	0.8	INSTRUCTION	NR	n/a	n/a
284.0	0.8	INSTRUCTION	NR	n/a	n/a
284.8	0.8	INSTRUCTION	NR	n/a	n/a
285.6	0.8	INSTRUCTION	NR	n/a	n/a
286.4	0.8	INSTRUCTION	NR	n/a	n/a
287.2	0.8	INSTRUCTION	NR	n/a	n/a
288.0	0.8	INSTRUCTION	NR	n/a	n/a
288.8	2.4	2BACK	NR	n/a	true_negative
291.2	2.4	2BACK	NR	n/a	true_negative
293.6	2.4	2BACK	NR	n/a	true_negative
296.0	2.4	2BACK	NR	n/a	true_negative
298.4	2.4	2BACK	Match	0.581	true_positive
300.8	2.4	2BACK	NR	n/a	true_negative
303.2	2.4	2BACK	NR	0.495	false_positive
305.6	2.4	2BACK	NR	n/a	true_negative
308.0	2.4	2BACK	NR	n/a	true_negative
310.4	2.4	2BACK	Match	0.6123	true_positive
312.8	2.4	2BACK	NR	n/a	true_negative
315.2	2.4	2BACK	Match	1.2585	true_positive
317.6	2.4	2BACK	NR	n/a	true_negative
320.0	2.4	2BACK	NR	n/a	true_negative
322.4	2.4	2BACK	NR	n/a	true_negative
324.8	2.4	2BACK	Match	n/a	false_negative
327.2	2.4	2BACK	NR	n/a	true_negative
329.6	2.4	2BACK	NR	n/a	true_negative
332.0	2.4	2BACK	NR	n/a	true_negative
334.4	2.4	2BACK	Match	0.8079	true_positive
336.8	0.8	INSTRUCTION	NR	n/a	n/a
337.6	0.8	INSTRUCTION	NR	n/a	n/a
338.4	0.8	INSTRUCTION	NR	n/a	n/a
339.2	0.8	INSTRUCTION	NR	n/a	n/a
340.0	0.8	INSTRUCTION	NR	n/a	n/a
340.8	0.8	INSTRUCTION	NR	n/a	n/a
341.6	0.8	INSTRUCTION	NR	n/a	n/a
342.4	0.8	INSTRUCTION	NR	n/a	n/a
343.2	0.8	INSTRUCTION	NR	n/a	n/a
344.0	0.8	INSTRUCTION	NR	n/a	n/a
344.8	0.8	INSTRUCTION	NR	n/a	n/a
345.6	0.8	INSTRUCTION	NR	n/a	n/a
346.4	2.4	0BACK	NR	n/a	true_negative
348.8	2.4	0BACK	NR	0.5651	false_positive
351.2	2.4	0BACK	NR	n/a	true_negative
353.6	2.4	0BACK	Match	0.45580000000000004	true_positive
356.0	2.4	0BACK	NR	n/a	true_negative
358.4	2.4	0BACK	Match	0.4688	true_positive
360.8	2.4	0BACK	Match	0.6781	true_positive
363.2	2.4	0BACK	NR	n/a	true_negative
365.6	2.4	0BACK	NR	n/a	true_negative
368.0	2.4	0BACK	Match	0.3745	true_positive
370.4	2.4	0BACK	NR	n/a	true_negative
372.8	2.4	0BACK	NR	n/a	true_negative
375.2	2.4	0BACK	NR	n/a	true_negative
377.6	2.4	0BACK	NR	n/a	true_negative
380.0	2.4	0BACK	NR	n/a	true_negative
382.4	2.4	0BACK	NR	n/a	true_negative
384.8	2.4	0BACK	NR	n/a	true_negative
387.2	2.4	0BACK	Match	0.5397000000000001	true_positive
389.6	2.4	0BACK	NR	n/a	true_negative
392.0	2.4	0BACK	NR	n/a	true_negative
