onset	duration	trial_type	results	response_time	score
24.8	0.8	INSTRUCTION	NR	n/a	n/a
25.6	0.8	INSTRUCTION	NR	n/a	n/a
26.4	0.8	INSTRUCTION	NR	n/a	n/a
27.2	0.8	INSTRUCTION	NR	n/a	n/a
28.0	0.8	INSTRUCTION	NR	n/a	n/a
28.8	0.8	INSTRUCTION	NR	n/a	n/a
29.6	0.8	INSTRUCTION	NR	n/a	n/a
30.4	0.8	INSTRUCTION	NR	n/a	n/a
31.2	0.8	INSTRUCTION	NR	n/a	n/a
32.0	0.8	INSTRUCTION	NR	n/a	n/a
32.8	0.8	INSTRUCTION	NR	n/a	n/a
33.6	0.8	INSTRUCTION	NR	n/a	n/a
34.4	2.4	0BACK	NR	n/a	true_negative
36.8	2.4	0BACK	NR	n/a	true_negative
39.2	2.4	0BACK	NR	n/a	true_negative
41.6	2.4	0BACK	Match	0.30619999999999997	true_positive
44.0	2.4	0BACK	NR	n/a	true_negative
46.4	2.4	0BACK	NR	n/a	true_negative
48.8	2.4	0BACK	Match	0.2914	true_positive
51.2	2.4	0BACK	NR	n/a	true_negative
53.6	2.4	0BACK	NR	n/a	true_negative
56.0	2.4	0BACK	Match	0.38060000000000005	true_positive
58.4	2.4	0BACK	NR	n/a	true_negative
60.8	2.4	0BACK	NR	n/a	true_negative
63.2	2.4	0BACK	Match	0.2719	true_positive
65.6	2.4	0BACK	NR	n/a	true_negative
68.0	2.4	0BACK	NR	n/a	true_negative
70.4	2.4	0BACK	NR	n/a	true_negative
72.8	2.4	0BACK	NR	n/a	true_negative
75.2	2.4	0BACK	NR	n/a	true_negative
77.6	2.4	0BACK	Match	0.4595	true_positive
80.0	2.4	0BACK	NR	n/a	true_negative
82.4	0.8	INSTRUCTION	NR	n/a	n/a
83.2	0.8	INSTRUCTION	NR	n/a	n/a
84.0	0.8	INSTRUCTION	NR	n/a	n/a
84.8	0.8	INSTRUCTION	NR	n/a	n/a
85.6	0.8	INSTRUCTION	NR	n/a	n/a
86.4	0.8	INSTRUCTION	NR	n/a	n/a
87.2	0.8	INSTRUCTION	NR	n/a	n/a
88.0	0.8	INSTRUCTION	NR	n/a	n/a
88.8	0.8	INSTRUCTION	NR	n/a	n/a
89.6	0.8	INSTRUCTION	NR	n/a	n/a
90.4	0.8	INSTRUCTION	NR	n/a	n/a
91.2	0.8	INSTRUCTION	NR	n/a	n/a
92.0	2.4	2BACK	NR	n/a	true_negative
94.4	2.4	2BACK	NR	n/a	true_negative
96.8	2.4	2BACK	NR	n/a	true_negative
99.2	2.4	2BACK	NR	1.1288	false_positive
101.6	2.4	2BACK	NR	n/a	true_negative
104.0	2.4	2BACK	Match	0.5932000000000001	true_positive
106.4	2.4	2BACK	NR	n/a	true_negative
108.8	2.4	2BACK	NR	n/a	true_negative
111.2	2.4	2BACK	NR	0.4465	false_positive
113.6	2.4	2BACK	Match	0.7289	true_positive
116.0	2.4	2BACK	NR	n/a	true_negative
118.4	2.4	2BACK	Match	0.3717	true_positive
120.8	2.4	2BACK	NR	n/a	true_negative
123.2	2.4	2BACK	NR	n/a	true_negative
125.6	2.4	2BACK	Match	0.3568	true_positive
128.0	2.4	2BACK	NR	n/a	true_negative
130.4	2.4	2BACK	NR	n/a	true_negative
132.8	2.4	2BACK	NR	n/a	true_negative
135.2	2.4	2BACK	NR	0.6286	false_positive
137.6	2.4	2BACK	Match	0.577	true_positive
140.0	0.8	INSTRUCTION	NR	n/a	n/a
140.8	0.8	INSTRUCTION	NR	n/a	n/a
141.6	0.8	INSTRUCTION	NR	n/a	n/a
142.4	0.8	INSTRUCTION	NR	n/a	n/a
143.2	0.8	INSTRUCTION	NR	n/a	n/a
144.0	0.8	INSTRUCTION	NR	n/a	n/a
144.8	0.8	INSTRUCTION	NR	n/a	n/a
145.6	0.8	INSTRUCTION	NR	n/a	n/a
146.4	0.8	INSTRUCTION	NR	n/a	n/a
147.2	0.8	INSTRUCTION	NR	n/a	n/a
148.0	0.8	INSTRUCTION	NR	n/a	n/a
148.8	0.8	INSTRUCTION	NR	n/a	n/a
149.6	2.4	2BACK	NR	n/a	true_negative
152.0	2.4	2BACK	NR	n/a	true_negative
154.4	2.4	2BACK	NR	n/a	true_negative
156.8	2.4	2BACK	Match	0.3725	true_positive
159.2	2.4	2BACK	Match	0.4168	true_positive
161.6	2.4	2BACK	NR	n/a	true_negative
164.0	2.4	2BACK	NR	0.5917	false_positive
166.4	2.4	2BACK	NR	0.7212999999999999	false_positive
168.8	2.4	2BACK	NR	0.6494	false_positive
171.2	2.4	2BACK	NR	n/a	true_negative
173.6	2.4	2BACK	Match	0.6745	true_positive
176.0	2.4	2BACK	NR	n/a	true_negative
178.4	2.4	2BACK	Match	0.4992	true_positive
180.8	2.4	2BACK	NR	n/a	true_negative
183.2	2.4	2BACK	NR	0.5562	false_positive
185.6	2.4	2BACK	NR	0.7637	false_positive
188.0	2.4	2BACK	NR	n/a	true_negative
190.4	2.4	2BACK	NR	n/a	true_negative
192.8	2.4	2BACK	NR	n/a	true_negative
195.2	2.4	2BACK	Match	0.3514	true_positive
197.6	0.8	INSTRUCTION	NR	n/a	n/a
198.4	0.8	INSTRUCTION	NR	n/a	n/a
199.2	0.8	INSTRUCTION	NR	n/a	n/a
200.0	0.8	INSTRUCTION	NR	n/a	n/a
200.8	0.8	INSTRUCTION	NR	n/a	n/a
201.6	0.8	INSTRUCTION	NR	n/a	n/a
202.4	0.8	INSTRUCTION	NR	n/a	n/a
203.2	0.8	INSTRUCTION	NR	n/a	n/a
204.0	0.8	INSTRUCTION	NR	n/a	n/a
204.8	0.8	INSTRUCTION	NR	n/a	n/a
205.6	0.8	INSTRUCTION	NR	n/a	n/a
206.4	0.8	INSTRUCTION	NR	n/a	n/a
207.2	2.4	0BACK	NR	n/a	true_negative
209.6	2.4	0BACK	NR	n/a	true_negative
212.0	2.4	0BACK	NR	n/a	true_negative
214.4	2.4	0BACK	Match	0.3755	true_positive
216.8	2.4	0BACK	Match	0.511	true_positive
219.2	2.4	0BACK	NR	n/a	true_negative
221.6	2.4	0BACK	NR	n/a	true_negative
224.0	2.4	0BACK	NR	n/a	true_negative
226.4	2.4	0BACK	NR	n/a	true_negative
228.8	2.4	0BACK	NR	n/a	true_negative
231.2	2.4	0BACK	Match	0.45139999999999997	true_positive
233.6	2.4	0BACK	NR	n/a	true_negative
236.0	2.4	0BACK	NR	n/a	true_negative
238.4	2.4	0BACK	NR	n/a	true_negative
240.8	2.4	0BACK	Match	0.49610000000000004	true_positive
243.2	2.4	0BACK	NR	n/a	true_negative
245.6	2.4	0BACK	NR	n/a	true_negative
248.0	2.4	0BACK	NR	n/a	true_negative
250.4	2.4	0BACK	Match	0.32789999999999997	true_positive
252.8	2.4	0BACK	NR	n/a	true_negative
279.2	0.8	INSTRUCTION	NR	n/a	n/a
280.0	0.8	INSTRUCTION	NR	n/a	n/a
280.8	0.8	INSTRUCTION	NR	n/a	n/a
281.6	0.8	INSTRUCTION	NR	n/a	n/a
282.4	0.8	INSTRUCTION	NR	n/a	n/a
283.2	0.8	INSTRUCTION	NR	n/a	n/a
284.0	0.8	INSTRUCTION	NR	n/a	n/a
284.8	0.8	INSTRUCTION	NR	n/a	n/a
285.6	0.8	INSTRUCTION	NR	n/a	n/a
286.4	0.8	INSTRUCTION	NR	n/a	n/a
287.2	0.8	INSTRUCTION	NR	n/a	n/a
288.0	0.8	INSTRUCTION	NR	n/a	n/a
288.8	2.4	2BACK	NR	n/a	true_negative
291.2	2.4	2BACK	NR	n/a	true_negative
293.6	2.4	2BACK	NR	n/a	true_negative
296.0	2.4	2BACK	NR	0.37089999999999995	false_positive
298.4	2.4	2BACK	Match	0.5164	true_positive
300.8	2.4	2BACK	NR	0.7988999999999999	false_positive
303.2	2.4	2BACK	NR	0.4101	false_positive
305.6	2.4	2BACK	NR	n/a	true_negative
308.0	2.4	2BACK	NR	0.6711	false_positive
310.4	2.4	2BACK	Match	0.6856	true_positive
312.8	2.4	2BACK	NR	n/a	true_negative
315.2	2.4	2BACK	Match	0.4253	true_positive
317.6	2.4	2BACK	NR	n/a	true_negative
320.0	2.4	2BACK	NR	n/a	true_negative
322.4	2.4	2BACK	NR	0.7426	false_positive
324.8	2.4	2BACK	Match	0.648	true_positive
327.2	2.4	2BACK	NR	0.8191	false_positive
329.6	2.4	2BACK	NR	n/a	true_negative
332.0	2.4	2BACK	NR	n/a	true_negative
334.4	2.4	2BACK	Match	0.6337999999999999	true_positive
336.8	0.8	INSTRUCTION	NR	n/a	n/a
337.6	0.8	INSTRUCTION	NR	n/a	n/a
338.4	0.8	INSTRUCTION	NR	n/a	n/a
339.2	0.8	INSTRUCTION	NR	n/a	n/a
340.0	0.8	INSTRUCTION	NR	n/a	n/a
340.8	0.8	INSTRUCTION	NR	n/a	n/a
341.6	0.8	INSTRUCTION	NR	n/a	n/a
342.4	0.8	INSTRUCTION	NR	n/a	n/a
343.2	0.8	INSTRUCTION	NR	n/a	n/a
344.0	0.8	INSTRUCTION	NR	n/a	n/a
344.8	0.8	INSTRUCTION	NR	n/a	n/a
345.6	0.8	INSTRUCTION	NR	n/a	n/a
346.4	2.4	0BACK	NR	n/a	true_negative
348.8	2.4	0BACK	NR	n/a	true_negative
351.2	2.4	0BACK	NR	n/a	true_negative
353.6	2.4	0BACK	Match	0.30419999999999997	true_positive
356.0	2.4	0BACK	NR	n/a	true_negative
358.4	2.4	0BACK	Match	0.3379	true_positive
360.8	2.4	0BACK	Match	0.38839999999999997	true_positive
363.2	2.4	0BACK	NR	n/a	true_negative
365.6	2.4	0BACK	NR	n/a	true_negative
368.0	2.4	0BACK	Match	0.3976	true_positive
370.4	2.4	0BACK	NR	n/a	true_negative
372.8	2.4	0BACK	NR	n/a	true_negative
375.2	2.4	0BACK	NR	n/a	true_negative
377.6	2.4	0BACK	NR	n/a	true_negative
380.0	2.4	0BACK	NR	n/a	true_negative
382.4	2.4	0BACK	NR	n/a	true_negative
384.8	2.4	0BACK	NR	n/a	true_negative
387.2	2.4	0BACK	Match	0.679	true_positive
389.6	2.4	0BACK	NR	n/a	true_negative
392.0	2.4	0BACK	NR	n/a	true_negative
